#,DOB,Birth City,S/P,Ctry,HT,Wt,S,Rk,Age,BTN Code,Last Name,First Name,End Team,Teams,Pos,GP,G,A,PTS,+/-,Sh,Sh%,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FO,FOW,FOL,FO%,%Tm,Hits,BkS,MsS,GvA,TkA,H/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,NetPen,ESTOI,ESTOI/G,55TOI/G,55TOF/G,ES%,ESG,ESA1,ESA2,ESA,ESP,ESP/60,ESPass,ESIGP,ESIAP,ESIPP,ESFO,ESFOW,ESFOL,ESFO%,ESOZFOW,ESOZFOL,ESOZ%,ESDZFOW,ESDZFOL,ESDZ%,ESNZFOW,ESNZFOL,ESNZ%,OZ%,OZRk,ESOZF,ESDZF,ESNZF,TOI QoC,RCQoC,QoCRk,CQoC ,RCQoT,CQoT ,ESOISH%,ESOISV%,PDO,SPD,TmESGF/60,TmESGA/60,TmESSF/60,TmESSA/60,TmESCF/60,TmESCA/60,Corsi,TmESGF,TmESGA,TmESSVA,TmESSVF,TmESMF,TmESMA,TmESBF,TmESBA,Adj Corsi,oTmESGF/60,oTmESGA/60,oTmESSF/60,oTmESSA/60,oTmESCF/60,oTmESCA/60,RelC,oTmESGF,oTmESGA,oTmESSVA,oTmESSVF,oTmESMF,oTmESMA,oTmESBF,oTmESBA,ESPenT,ESPenD,ESPPD,ESPenT/60,ESPenD/60,ESPPD/60,PPTOI,PPTOI/G,54TOI/G,54TOF/G,PP%,PPG,PPA1,PPA2,PPA,PPP,PPP/60,PPPass,PPIGP,PPIAP,PPIPP,PPFO,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,PPPenT,PPPenD,SHTOI,SHTOI/G,45TOI/G,45TOF/G,SH%,SHG,SHA1,SHA2,SHA,SHP,SHPass,SHFO,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBF,TmSHBA,SHPenT,SHPenD,tmGF,tmPPGF,tmGA,tmPPGA,SOS,SOG,SO%,SOGDG,1G,OTG,GWG,ENG,PSG,PST,PS%,DIA,OPS,DPS,PS,PS/G,PS/60,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,Full,LTIR,SOIR,Ginj,Injury,Cap Cost,Bonuses,GVS,
71,Feb 07 '91,Martin,,SVK,73,208,L,Y,22,RICHARDPANIK,Panik,Richard,TBL,TBL,RW/C,25,5,4,9,-2,34,14.7%,283.2,11.3,373,14.9,0.76,19,3.94,38.5%,30.8%,69.2%,3,1,2,33.3%,0.2,38,13,10,7,13,8.1,2.8,2.1,1.5,2.8,4,2,0,0,0,0,5.6,262.6,10.5,10.39,38.55,21.2%,4,1,2,3,7,1.60,11,36.4%,27.3%,63.6%,3,1,2,33.3%,33,23,26.0%,46,42,40.9%,38,33,33.0%,38.9%,3,81,101,82,15.20412074,0.184,8,-0.421,0.667,-5.021,9.0%,.904,913,-0.6%,2.54,3.00,28.18,31.18,57.05,56.13,.92,11,13,111,122,49,51,57,76,8.10,2.68,2.99,29.07,29.88,52.98,56.28,4.2,43,48,424,432,185,196,228,199,1,7,6,0.23,1.60,1.37,20.0,0.8,0.82,4.33,15.9%,1,1,0,1,2,6.0,8,50.0%,50.0%,100.0%, ,0,0, ,2,0,13,2,7,1,0,3,0,0,0.7,0.0,0.03,4.89,0.6%,0,0,0,0,0,0, ,0,0, ,0,0,0,1,0,1,0,1,0,0,13,2,13,0,1,0,0%,0,0,0,1,0,0,0, ,4,0.7,0.1,0.9,0.04,0.19,6.4,5.6,-1.9,1,0.1,-0.3,0.9,0.04,0.19,54,0,0,,,"$403,636","$160,000",0.7,
29,Jun 07 '90,Winnipeg,MB,CAN,75,210,R,Y,23,MICHAELSTONE,Stone,Michael,PHX,PHX,D,40,5,4,9,2,50,10.0%,667.5,16.7,867,21.7,0.77,36,3.19,19.2%,15.4%,34.6%, , , , ,0.0,89,64,22,4,8,8.0,5.8,2.0,0.4,0.7,16,8,0,0,0,0,-1.0,574.5,14.4,14.09,33.84,29.4%,4,2,1,3,7,0.73,26,17.4%,13.0%,30.4%, ,,, ,61,82,28.5%,85,85,33.9%,104,84,37.5%,45.7%,1,215,216,156,15.16161002,0.363,5,1.313,-0.519,0.693,7.7%,.929,937,0.6%,2.45,2.13,31.83,30.13,58.45,57.06,1.38,23,20,276,263,112,106,147,138,2.95,2.26,2.22,29.74,30.81,57.36,55.90,-0.1,51,50,620,645,305,273,293,318,5,1,-4,0.52,0.10,-0.42,43.6,1.1,1.09,3.99,21.5%,1,1,0,1,2,2.8,10,50.0%,50.0%,100.0%, ,,, ,2,0,17,8,8,2,1,12,0,0,49.4,1.2,1.18,4.03,22.6%,0,0,0,0,0,0, ,,, ,1,6,12,37,0,15,17,3,0,0,26,2,29,7,,, ,,1,0,0,0,0,0, ,3,0.8,1.5,2.2,0.06,0.20,11.7,15.5,0.3,1.3,1.6,0,3,0.08,0.27,88,0,0,,,"$562,963","$212,500",2.8,
4,Feb 22 '89,Red Deer,AB,CAN,75,195,R,Y,24,PAULPOSTMA,Postma,Paul,WPG,WPG,D,34,4,5,9,-5,32,12.5%,511.0,15.0,658,19.4,0.78,41,4.80,20.0%,25.0%,45.0%, , , , ,0.0,17,27,28,16,9,2.0,3.2,3.3,1.9,1.1,6,3,0,0,0,0,0.1,451.9,13.3,12.88,36.41,26.1%,2,2,1,3,5,0.66,29,14.3%,21.4%,35.7%, ,,, ,60,77,36.5%,50,38,23.5%,74,76,40.0%,60.9%,7,148,124,128,14.52222646,-0.65,7,-0.678,-0.134,-0.845,6.9%,.905,912,-2.5%,1.92,2.60,27.68,27.54,58.50,52.34,6.17,14,19,188,182,114,78,103,111,3.63,2.62,2.91,28.74,29.52,54.82,58.60,9.9,54,60,539,549,237,274,326,301,3,1,-2,0.40,0.13,-0.27,57.3,1.7,1.62,3.47,31.8%,2,2,0,2,4,4.2,12,33.3%,33.3%,66.7%, ,,, ,6,1,30,3,14,4,0,18,0,0,1.8,0.1,0.05,4.36,1.1%,0,0,0,0,0,0, ,,, ,0,0,0,1,0,2,0,0,0,0,21,6,20,0,,, ,,0,0,0,0,0,0, ,0,0.9,0.5,1.4,0.04,0.16,11.6,8.3,-3.2,1.2,-0.3,0,1,0.03,0.12,99,0,0,,,"$550,000",$0,0.9,
16,Apr 25 '87,Toronto,ON,CAN,70,207,L,Y,26,RICHARDCLUNE,Clune,Rich,NSH,NSH,LW,47,4,5,9,3,46,8.7%,442.1,9.4,670,14.3,0.66,45,6.11,30.8%,38.5%,69.2%,2, ,2,0.0%,0.0,159,6,15,6,4,21.6,0.8,2.0,0.8,0.5,113,18,13,0,1,0,-7.8,436.4,9.3,9.29,40,18.8%,4,3,2,5,9,1.24,45,30.8%,38.5%,69.2%,2,0,2,0.0%,56,61,32.2%,57,59,32.0%,62,68,35.8%,50.2%,9,166,151,112,14.59602171,-1.046,13,-0.156,-1.575,-7.135,6.7%,.947,954,1.4%,1.79,1.51,26.80,28.72,46.17,52.08,-5.91,13,11,182,198,61,76,94,80,0.93,2.04,2.49,24.96,27.00,46.88,53.59,0.8,64,78,718,768,298,363,470,389,14,7,-7,1.92,0.96,-0.96,4.0,0.1,0.09,4.79,1.8%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,0,0,1,0,2,0,0,0,0,0,1.7,0.0,0.04,4.53,0.9%,0,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,0,14,0,11,0,,, ,,0,0,1,0,1,1,100%,1,0.2,0.6,0.8,0.02,0.11,8.4,8.3,4.5,0,1.6,0,1.6,0.03,0.22,99,0,0,,,"$537,500",$0,1.5,
20,May 09 '89,Consort,AB,CAN,73,191,R,Y,24,RILEYNASH,Nash,Riley,CAR,CAR,C,32,4,5,9,-4,36,11.1%,409.6,12.8,593,18.5,0.69,79,11.59,30.8%,38.5%,69.2%,289,128,161,44.3%,14.9,36,10,16,3,31,5.3,1.5,2.3,0.4,4.5,8,4,0,0,0,0,-0.7,375.9,11.7,11.65,37.71,23.6%,4,5,0,5,9,1.44,79,36.4%,45.5%,81.8%,271,121,150,44.6%,48,56,31.3%,50,50,30.1%,51,77,38.6%,51.0%,4,131,126,113,15.24543144,-0.002,11,-0.415,0.44,3.646,6.3%,.907,913,-3.0%,1.77,2.74,28.00,29.29,59.23,55.85,3.38,11,17,163,165,93,85,80,101,-1.01,2.49,3.23,32.17,32.62,63.69,61.06,0.7,50,65,597,591,284,276,296,350,3,3,0,0.48,0.48,0.00,24.9,0.8,0.78,4.23,15.6%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%,9,5,4,55.6%,1,0,14,5,10,3,0,10,1,0,8.8,0.3,0.28,4.3,6.1%,0,0,0,0,0,0,9,2,7,22.2%,1,1,0,5,0,1,6,2,0,1,13,0,18,1,1,1,100%,1,0,0,0,0,0,0, ,3,0.3,0.2,0.5,0.02,0.07,7.4,7.6,-1.5,0.5,0.3,0.5,1.4,0.04,0.21,62,0,0,1,Illness,"$493,182","$87,500",1.1,
47,Jan 23 '87,Narva,,EST,70,187,L,Y,26,LEOKOMAROV,Komarov,Leo,TOR,TOR,C/LW,42,4,5,9,-1,51,7.8%,585.3,13.9,845,20.1,0.69,14,1.41,25.0%,31.3%,56.3%,57,29,28,50.9%,2.2,176,24,28,15,16,18.0,2.5,2.9,1.5,1.6,18,9,0,0,0,0,4.9,502.3,12.0,11.89,35.91,24.9%,4,1,4,5,9,1.08,14,26.7%,33.3%,60.0%,48,25,23,52.1%,66,74,28.1%,88,94,36.5%,87,89,35.3%,43.5%,4,158,190,154,15.64793057,0.781,8,2.34,0.089,-13.506,7.3%,.935,943,0.8%,1.80,1.92,24.75,29.68,49.14,58.75,-9.61,15,16,191,231,94,95,147,109,7.71,3.06,2.98,26.46,34.49,52.23,66.60,4.7,77,75,588,792,289,370,437,359,6,10,4,0.72,1.19,0.48,7.0,0.2,0.17,4.95,3.3%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,1,0,4,2,1,0,2,1,0,2,76.0,1.8,1.82,3.89,31.9%,0,0,0,0,0,0,9,4,5,44.4%,0,7,5,47,7,19,32,6,0,0,16,1,23,7,,, ,,3,0,3,0,0,0, ,5,-0.2,0.5,0.3,0.01,0.03,8.2,11.8,-2.2,0.1,2.2,0,2.2,0.05,0.23,99,0,0,6,Upper body,"$850,000","$350,000",1.6,
45,Sep 29 '90,Lakeville,MN,USA,68,175,R,Y,23,JORDANSCHROEDER,Schroeder,Jordan,VAN,VAN,C/RW,31,3,6,9,0,28,10.7%,425.1,13.7,585,18.9,0.73,55,7.80,18.8%,37.5%,56.3%,321,140,181,43.6%,17.3,10,11,12,5,14,1.4,1.6,1.7,0.7,2.0,4,2,0,0,0,0,-1.5,348.4,11.2,10.85,36.36,23.0%,2,4,0,6,8,1.38,55,18.2%,54.5%,72.7%,280,121,159,43.2%,43,66,37.1%,41,31,24.5%,44,69,38.4%,60.2%,10,128,118,100,15.08081651,-0.378,12,-0.604,-2.899,1.014,7.2%,.924,931,-0.4%,1.96,1.96,27.11,25.69,51.91,48.16,3.75,11,11,141,133,61,58,68,78,-0.41,2.40,1.86,27.52,27.25,53.92,47.75,-2.4,45,35,472,477,210,163,222,286,2,1,-1,0.34,0.17,-0.17,76.6,2.5,2.46,3.33,42.5%,1,0,0,0,1,0.8,0,20.0%,0.0%,20.0%,40,19,21,47.5%,5,2,49,11,22,1,3,38,0,0,0.1,0.0,,, ,0,0,0,0,0,0,1,0,1,0.0%,,,0,0,0,0,0,0,0,0,18,5,13,0,3,1,33%,1,0,0,2,0,0,0, ,2,0.2,0.5,0.7,0.02,0.10,9.3,7.3,-0.6,-0.5,0.4,-0.1,-0.2,-0.01,-0.03,63,0,0,,,"$572,727","$125,000",-0.6,
18,Apr 01 '91,Toronto,ON,CAN,72,185,L,Y,22,RILEYSMITH,Smith,Reilly,DAL,DAL,RW/LW,37,3,6,9,0,34,8.8%,403.9,10.9,573,15.5,0.70,62,9.15,25.0%,50.0%,75.0%,4,3,1,75.0%,0.1,18,6,17,13,14,2.7,0.9,2.5,1.9,2.1,8,4,0,0,0,0,4.4,351.3,9.5,9.48,37.33,20.3%,3,4,2,6,9,1.54,62,30.0%,60.0%,90.0%,4,3,1,75.0%,46,66,34.8%,42,42,26.1%,58,68,39.1%,57.1%,8,146,110,89,14.99639759,-0.385,9,-0.156,0.445,-2.262,6.5%,.939,945,0.4%,1.71,1.71,26.34,27.88,57.30,48.24,9.07,10,10,144,153,67,62,57,114,9.37,2.39,2.87,26.50,30.45,55.52,57.65,11.2,55,66,555,635,304,299,327,364,3,8,5,0.51,1.37,0.85,37.9,1.0,1.01,4.79,17.4%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,2,0,20,7,12,1,1,19,0,0,14.8,0.4,0.4,5.34,7.0%,0,0,0,0,0,0, ,0,0, ,0,5,0,10,0,2,5,1,0,0,12,2,15,5,,, ,,1,0,0,0,0,0, ,1,0.2,0.4,0.6,0.02,0.09,6.4,7.5,0.4,0.7,0.9,0,1.7,0.05,0.25,81,0,0,,,"$736,364",$0,1.1,
4,Nov 13 '90,New Westminster,BC,CAN,75,228,L,Y,23,BRENDENDILLON,Dillon,Brenden,DAL,DAL,D,48,3,5,8,1,75,4.0%,1026.2,21.4,1283,26.7,0.80,12,0.68,8.8%,14.7%,23.5%, , , , ,0.0,133,74,36,20,8,7.8,4.3,2.1,1.2,0.5,65,20,3,1,0,0,-8.1,882.9,18.4,17.75,29.44,37.6%,3,1,3,5,8,0.54,12,8.8%,14.7%,23.5%, ,,, ,88,121,27.4%,138,137,36.0%,137,142,36.6%,43.2%,2,285,290,269,15.74694342,0.96,2,1.468,0.588,-2.508,8.7%,.916,924,0.2%,2.39,2.39,27.68,28.38,55.35,55.28,.07,34,34,359,369,180,180,202,213,5.59,2.55,2.67,24.84,30.87,52.56,56.94,4.4,60,63,525,664,271,294,320,382,16,4,-12,1.09,0.27,-0.82,19.3,0.4,0.4,5.31,7.0%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,,, ,0,0,10,1,6,1,0,10,0,1,124.1,2.6,2.46,3.3,42.7%,0,0,0,0,0,0, ,,, ,0,12,17,111,6,48,52,3,2,0,35,0,48,14,,, ,,0,0,1,0,0,0, ,5,0.0,2.1,2.1,0.04,0.12,14,20.4,2.1,0.2,2.2,0,2.4,0.05,0.14,99,0,0,,,"$690,000","$210,000",2.1,
63,Feb 05 '89,Munkedal,,SWE,74,206,L,Y,24,JOAKIMANDERSSON,Andersson,Joakim,DET,DET,C,38,3,5,8,2,43,7.0%,459.3,12.1,658,17.3,0.70,55,7.14,18.8%,31.3%,50.0%,310,144,166,46.5%,14.7,17,12,14,16,4,2.2,1.6,1.8,2.1,0.5,8,4,0,0,0,0,-0.8,400.4,10.5,10.45,38.1,21.5%,3,4,0,4,7,1.05,55,20.0%,26.7%,46.7%,281,134,147,47.7%,61,55,36.3%,47,54,31.6%,46,57,32.2%,53.5%,4,132,150,103,14.49022555,-0.837,10,-1.299,0.901,7.924,7.3%,.921,928,-0.6%,2.27,1.96,30.97,24.78,57.72,43.21,14.51,15,13,190,151,84,59,63,93,4.36,1.99,1.95,29.38,28.84,55.20,49.73,9.0,48,47,661,649,297,217,287,326,4,4,0,0.60,0.60,0.00,8.7,0.2,0.23,5.24,4.2%,0,0,1,1,1,6.9,0,0.0%,100.0%,100.0%,6,3,3,50.0%,1,0,8,2,3,1,0,7,0,0,50.2,1.3,1.32,3.6,26.8%,0,0,0,0,0,0,23,7,16,30.4%,0,3,5,28,2,19,11,0,0,0,16,1,16,3,,, ,,1,0,0,0,0,0, ,2,-0.1,0.6,0.6,0.02,0.08,9.1,9.8,0.3,-0.8,1.5,0,0.7,0.02,0.09,79,0,0,,,"$508,712","$237,500",0.5,
64,Feb 26 '92,Oulu,,FIN,70,180,L,Y,21,MIKAELGRANLUND,Granlund,Mikael,MIN,MIN,C,27,2,6,8,-4,36,5.6%,355.8,13.2,488,18.1,0.73,65,10.91,22.2%,66.7%,88.9%,206,97,109,47.1%,13.0,15,8,11,10,8,2.5,1.3,1.9,1.7,1.3,6,3,0,0,0,0,-0.5,308.9,11.4,11.2,37.57,23.0%,2,3,1,4,6,1.17,50,28.6%,57.1%,85.7%,188,88,100,46.8%,53,42,35.2%,35,46,30.0%,38,56,34.8%,54.0%,11,101,138,96,15.19469294,-0.727,12,-1.483,-1.785,-2.872,6.0%,.923,929,-1.7%,1.39,2.58,23.02,33.53,41.87,58.53,-16.67,7,13,109,156,46,57,69,49,-16.32,2.01,2.13,27.09,24.25,49.92,48.86,-17.7,34,36,424,374,161,188,228,225,2,2,0,0.39,0.39,0.00,46.7,1.7,1.7,3.38,33.5%,0,1,1,2,2,2.6,15,0.0%,100.0%,100.0%,18,9,9,50.0%,2,0,28,6,9,0,3,23,1,0,0.2,0.0,0.01,4.76,0.2%,0,0,0,0,0,0, ,0,0, ,0,0,0,0,0,0,0,0,0,1,11,2,13,0,,, ,,0,0,0,0,0,0, ,2,0.1,0.3,0.4,0.01,0.07,6.9,6.3,-2.9,-0.1,0.4,0,0.3,0.01,0.05,70,0,0,,,"$636,364","$1,200,000",-0.2,
2,Feb 08 '89,Toronto,ON,CAN,74,198,L,Y,24,BRENDANSMITH,Smith,Brendan,DET,DET,D,34,0,8,8,1,33,0.0%,625.6,18.4,842,24.8,0.74,23,2.17,0.0%,50.0%,50.0%, , , , ,0.0,20,35,17,27,10,1.9,3.4,1.6,2.6,1.0,36,13,2,0,0,0,4.8,542.9,16.0,15.35,32.17,32.3%,0,1,5,6,6,0.66,23,0.0%,50.0%,50.0%, ,,, ,81,94,37.7%,73,59,28.4%,73,84,33.8%,57.0%,5,190,177,142,15.32285759,0.027,4,-0.553,0.242,7.607,4.4%,.939,943,-1.7%,1.38,1.49,31.16,24.49,55.99,43.80,12.19,12,13,259,200,103,81,87,113,2.26,2.25,1.87,30.23,27.65,56.45,48.55,4.3,41,34,510,470,230,160,221,248,9,10,1,0.99,1.11,0.11,39.2,1.2,1.14,4.98,18.6%,0,0,2,2,2,3.1,0,0.0%,66.7%,66.7%, ,,, ,3,0,22,3,8,1,0,29,0,2,43.5,1.3,1.28,3.96,24.4%,0,0,0,0,0,0, ,,, ,1,5,8,31,3,12,13,0,2,1,16,2,18,5,,, ,,0,0,0,0,0,0, ,2,0.2,1.6,1.7,0.05,0.16,8.4,10,-0.4,0.9,1.5,0,2.4,0.07,0.23,99,0,0,11,Shoulder,"$875,000",$0,1.7,
12,Oct 01 '90,Montreal,QC,CAN,76,187,R,Y,23,ALEXCHIASSON,Chiasson,Alex,DAL,DAL,RW,7,6,1,7,3,13,46.2%,98.6,14.1,136,19.4,0.72,6,3.45,85.7%,14.3%,100.0%,18,5,13,27.8%,4.1,10,2,3,0,1,6.1,1.2,1.8,0.0,0.6,0,0,0,0,0,0,-0.1,87.4,12.5,12.48,36.4,25.5%,5,1,0,1,6,4.12,6,83.3%,16.7%,100.0%,17,5,12,29.4%,12,25,40.2%,10,8,19.6%,16,21,40.2%,67.3%,10,29,31,29,15.72828445,0.047,8,0.937,3.45,-2.048,17.6%,.940,958,11.6%,4.12,2.06,23.35,34.34,47.39,65.93,-18.54,6,3,28,47,13,22,24,22,-19.79,3.30,2.83,23.78,28.02,45.92,56.04,-8.4,14,12,87,107,40,51,68,54,0,0,0,0.00,0.00,0.00,11.2,1.6,1.6,3.81,29.6%,1,0,0,0,1,5.4,0,100.0%,0.0%,100.0%,1,0,1,0.0%,1,0,11,1,3,0,2,3,0,0,0.0,0.0,,, ,0,0,0,0,0,0, ,0,0, ,,,0,0,0,0,0,0,0,0,7,1,3,0,,, ,,0,0,1,0,0,0, ,4,1.2,0.2,1.4,0.20,0.85,2.5,2.1,3.4,2.3,0.4,0,2.8,0.40,1.70,27,0,0,6,Shoulder,"$218,182","$100,000",2.7,
21,Dec 01 '90,Ilava,,SVK,70,186,L,Y,23,TOMASTATAR,Tatar,Tomas,DET,DET,C,18,4,3,7,2,32,12.5%,204.7,11.4,271,15.1,0.76,21,6.23,44.4%,33.3%,77.8%,1,1, ,100.0%,0.1,9,5,11,2,5,2.6,1.5,3.2,0.6,1.5,4,2,0,0,0,0,1.8,172.0,9.6,9.56,38.53,19.9%,3,2,1,3,6,2.09,21,37.5%,37.5%,75.0%,1,1,0,100.0%,28,20,33.1%,21,27,33.1%,20,29,33.8%,50.0%,1,60,50,43,14.36900239,-2.209,14,-2.617,1.316,7.553,9.4%,.905,914,-0.1%,2.79,2.09,29.64,21.97,59.97,39.05,20.92,8,6,77,57,38,20,29,49,10.66,2.16,1.82,28.38,31.23,50.78,53.55,23.7,25,21,303,340,123,119,139,136,2,4,2,0.70,1.40,0.70,32.7,1.8,1.81,3.38,34.9%,1,0,0,0,1,1.8,0,100.0%,0.0%,100.0%, ,0,0, ,1,0,25,2,17,1,0,19,0,0,0.0,0.0,,, ,0,0,0,0,0,0, ,0,0, ,,,0,0,0,0,0,0,0,0,9,1,6,0,,, ,,2,0,0,0,0,0, ,4,0.7,0.3,1.0,0.06,0.29,4.6,4.2,1.4,1.1,0.7,0,1.7,0.09,0.50,37,0,0,,,"$235,455","$210,000",1.6,
56,May 13 '91,St. Catherines,ON,CAN,74,203,R,Y,22,TAYLORBECK,Beck,Taylor,NSH,NSH,LW,16,3,4,7,0,39,7.7%,257.5,16.1,349,21.8,0.74,28,6.45,25.0%,33.3%,58.3%,9,6,3,66.7%,0.9,13,11,10,5,3,3.0,2.6,2.3,1.2,0.7,2,1,0,0,0,0,0.7,226.8,14.2,14.08,37.04,27.5%,2,1,2,3,5,1.32,12,20.0%,30.0%,50.0%,7,4,3,57.1%,29,31,31.4%,23,34,29.8%,41,33,38.7%,51.3%,11,74,86,78,16.13395543,0.871,3,1.285,0.434,-5.285,8.2%,.921,929,0.3%,2.66,2.40,32.49,30.36,52.47,53.27,-.80,10,9,112,105,33,34,52,42,5.37,2.13,2.63,27.23,28.04,46.57,54.47,7.1,21,26,248,251,76,105,156,115,1,2,1,0.26,0.53,0.26,30.7,1.9,1.92,2.29,45.6%,1,1,0,1,2,3.9,16,50.0%,50.0%,100.0%,2,2,0,100.0%,2,1,29,1,8,1,0,10,0,0,0.0,0.0,,, ,0,0,0,0,0,0, ,0,0, ,,,0,0,0,0,0,0,0,0,12,2,10,0,1,0,0%,0,1,0,0,0,0,0, ,5,0.4,0.3,0.7,0.04,0.16,6.7,6,1.7,-0.1,0.9,-0.3,0.5,0.03,0.12,41,0,0,3,Upper body,"$280,236","$210,000",0.4,
47,Jul 27 '91,Laval,QC,CAN,76,214,L,Y,22,SIMONDESPRES,Despres,Simon,PIT,PIT,D,33,2,5,7,9,33,6.1%,498.8,15.1,652,19.8,0.77,16,1.88,8.3%,20.8%,29.2%, , , , ,0.0,48,31,9,16,4,5.8,3.7,1.1,1.9,0.5,20,10,0,0,0,0,-6.7,458.2,13.9,13.5,34.26,28.3%,2,1,1,4,6,0.79,11,10.0%,20.0%,30.0%, ,,, ,60,61,33.1%,70,42,30.6%,71,62,36.3%,51.9%,7,157,148,120,15.06297097,-0.379,8,0.048,-0.247,-2.326,8.8%,.933,941,2.0%,2.69,1.75,30.71,25.99,54.28,48.35,5.93,20,13,208,180,64,74,92,111,7.75,3.13,2.12,28.60,29.93,52.70,57.95,11.2,59,40,480,524,230,213,315,224,9,1,-8,1.18,0.13,-1.05,22.9,0.7,0.69,4.34,13.7%,0,1,0,1,1,2.6,4,0.0%,25.0%,25.0%, ,,, ,4,0,13,5,10,0,2,7,1,0,17.7,0.5,0.54,5.09,9.6%,0,0,0,0,0,0, ,,, ,0,1,2,6,0,5,5,0,0,0,26,4,14,1,,, ,,0,0,0,0,0,0, ,1,0.4,1.5,1.9,0.06,0.23,9.4,9.1,4.5,0.7,1.5,0,2.2,0.07,0.26,98,0,0,,,"$831,515",$0,1.6,
36,Dec 26 '89,Prerov,,CZE,74,201,L,Y,24,TOMASKUNDRATEK,Kundratek,Tomas,WSH,WSH,D,25,1,6,7,-5,23,4.3%,403.6,16.1,500,20.0,0.81,25,3.72,7.1%,42.9%,50.0%, , , , ,0.0,21,23,12,10,5,3.1,3.4,1.8,1.5,0.7,8,4,0,0,0,0,3.8,347.6,13.9,13.75,34.17,28.7%,1,1,1,3,4,0.69,19,12.5%,37.5%,50.0%, ,,, ,53,53,32.1%,44,54,29.7%,56,70,38.2%,52.0%,8,119,143,94,15.43532432,-0.407,7,0.823,0.309,-2.582,5.4%,.915,921,-3.1%,1.40,2.62,26.01,30.89,50.79,57.60,-6.81,8,15,141,162,55,65,88,87,-3.96,2.60,2.25,28.31,29.22,54.71,55.70,-5.8,37,32,366,384,165,158,219,211,3,4,1,0.52,0.69,0.17,21.4,0.9,0.86,4.41,16.3%,0,2,1,3,3,8.4,6,0.0%,60.0%,60.0%, ,,, ,5,0,11,3,7,3,1,8,0,0,34.7,1.4,1.38,4.32,24.2%,0,0,0,0,0,0, ,,, ,1,3,1,27,4,9,8,3,0,1,15,5,18,3,,, ,,0,0,0,0,0,0, ,1,0.4,0.3,0.7,0.03,0.10,8.2,8.1,-6,0.8,-0.4,0,0.4,0.02,0.06,71,0,0,7,Leg,"$451,220","$187,500",0.2,
47,Mar 13 '90,LaSalle,ON,CAN,75,219,R,Y,23,DALTONPROUT,Prout,Dalton,CBJ,CBJ,D,28,1,6,7,15,16,6.3%,518.8,18.5,635,22.7,0.82,0,0.00,5.0%,30.0%,35.0%, , , , ,0.0,51,40,14,15,6,5.9,4.6,1.6,1.7,0.7,25,5,3,0,0,0,0.5,491.2,17.5,16.74,33.68,33.2%,1,0,4,5,6,0.73,0,5.6%,27.8%,33.3%, ,,, ,65,72,28.4%,91,80,35.4%,98,77,36.2%,44.5%,1,171,182,133,15.48557642,0.411,3,-0.329,-0.418,-5.317,9.5%,.974,984,6.9%,2.30,0.77,24.32,29.83,45.19,56.58,-11.39,18,6,172,227,64,84,125,99,-5.17,2.35,2.16,27.49,29.97,51.41,55.10,-7.7,37,34,395,437,156,173,222,220,4,2,-2,0.49,0.24,-0.24,1.1,0.0,0.04,4.35,0.9%,0,0,1,1,1,53.7,0,0.0%,100.0%,100.0%, ,,, ,1,0,1,0,0,0,0,0,0,0,26.5,0.9,0.94,3.06,23.5%,0,0,0,0,0,0, ,,, ,1,4,0,16,1,8,10,0,0,0,22,1,10,4,,, ,,0,0,0,0,0,0, ,4,0.3,2.5,2.8,0.10,0.32,5.9,7.6,14.4,1.3,3,0,4.3,0.15,0.50,58,0,0,,,"$390,572",$0,4.1,
