#,DOB,Birth City,S/P,Ctry,HT,Wt,S,Draft,Round,Overall,Rk,Age,BTN Code,First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,PTS,PPG,Last Year League,Last Year PPG,+/-,Sh,Miss,Blkd,Sh%,CoSH%,Dist,Wrist,Snap,Slap,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FOW,FOL,FO%,%Tm,HitA,HitF,BkS,MsS,GvA,TkA,HA/60,HF/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,NetPen,SOS,SOG,SO%,SOGDG,1G,OTGP,OTG,OTA,GWG,ENG,PSG,PST,PS%,DIA,OPS,DPS,PS,PS/G,PS/60,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,Full,LTIR,SOIR,Ginj,Injury,Cap Cost,Bonuses,GVS
46,May 09 '90,Edmond,OK,USA,72,195,L,2008,4,96,Y,23,MATTDONOVAN,Matt,Donovan,NYI,,,D,52,2,14,16,0.307692308,AHL,0.64,-9,86,34,45,2.3%,1.2%,48.0,32,19,31,939.6,18.1,1221,23.5,0.77,53,3.38,2.7%,19.2%,21.9%,0,0,0.0%,0,86,68,72,34,37,18,5.5,4.3,4.6,2.2,2.4,1.1,26,13,0,0,0,0,-2.0,,, ,,0,15,0,0,0,0,0,0,0%,1,0.9,1.1,2,0.04,0.13,20.3,20.2,-1.2,1.3,1.3,0,2.6,0.05,0.17,,,,,,875000,,1.1
18,Jul 20 '89,St. Albert,AB,CAN,74,196,L,,,,Y,24,RYANSTANTON,Ryan,Stanton,VAN,,,D,64,1,15,16,0.25,AHL,0.342465753,5,65,30,52,1.5%,0.7%,55.0,37,8,20,941.6,14.7,1277,20.0,0.74,62,3.98,1.0%,15.5%,16.5%,1,0,100.0%,0,146,97,81,30,21,20,9.3,6.2,5.2,1.9,1.3,1.3,32,11,2,0,0,0,0.5,,, ,,0,17,0,1,0,0,0,0,0%,3,0.8,2.8,3.6,0.06,0.23,17.7,20.9,8.7,1.7,3.8,0,5.5,0.09,0.35,,,,16,"Ankle, Groin",550000,,4.5
26,Dec 28 '92,Kosice,,SVK,74,193,L,2011,2,35,Y,21,TOMASJURCO,Tomas,Jurco,DET,,,RW,36,8,7,15,0.416666667,AHL,1,0,77,29,23,10.4%,6.2%,29.3,39,12,3,484.8,13.5,691,19.2,0.70,46,5.68,10.4%,9.1%,19.5%,0,0,0.0%,0,40,67,9,29,10,8,5.0,8.3,1.1,3.6,1.2,1.0,14,7,0,0,0,0,2.4,2,0,0%,0,2,10,0,0,0,0,0,0,0%,4,1.3,0.5,1.8,0.05,0.22,11.4,9.9,0.5,1.6,0.8,-0.6,1.8,0.05,0.22,,,,7,Ribs,925000,,0.2
56,Mar 23 '91,Pori,,FIN,71,192,L,2009,7,182,Y,22,ERIKHAULA,Erik,Haula,MIN,,,C/LW,46,6,9,15,0.326086957,AHL,0.870967742,14,56,19,15,10.7%,6.7%,28.3,28,8,1,466.7,10.1,767,16.7,0.61,29,3.73,9.5%,14.3%,23.8%,161,187,46.3%,13.2,37,23,17,19,5,8,4.8,3.0,2.2,2.4,0.6,1.0,29,7,1,0,1,0,-4.9,,, ,,3,15,0,0,1,0,0,0,0%,3,1,1.2,2.2,0.05,0.28,8.8,9.7,12.6,2.1,2.7,0,4.8,0.10,0.62,,,,,,1750000,,1.7
27,Jul 03 '90,Edina,MN,USA,74,225,L,2009,6,152,Y,23,ANDERSLEE,Anders,Lee,NYI,,,C,22,9,5,14,0.636363636,NCAA,0.926829268,3,68,21,10,13.2%,9.1%,22.2,32,9,2,345.9,15.7,464,21.1,0.75,21,3.70,34.6%,19.2%,53.8%,1,5,16.7%,0.4,34,48,2,21,8,9,5.9,8.3,0.3,3.6,1.4,1.6,14,7,0,0,0,0,-3.4,1,0,0%,0,1,8,0,0,0,0,0,0,0%,5,1.6,0.5,2.1,0.10,0.36,7.7,6.3,6.4,3,1,-0.3,3.8,0.17,0.66,,,,,,1750000,,0.7
49,May 31 '92,Shawinigan,QC,CAN,71,196,L,2010,3,71,Y,21,MICHAELBOURNIVAL,Michael,Bournival,MTL,,,LW/C,60,7,7,14,0.233333333,AHL,0.434782609,-6,78,24,24,9.0%,5.6%,35.3,55,5,5,619.1,10.3,878,14.6,0.71,65,6.25,6.5%,6.5%,13.0%,28,33,45.9%,1.6,83,67,42,24,10,15,8.0,6.5,4.1,2.3,1.0,1.5,18,9,0,0,0,0,-5.1,,, ,,3,14,0,0,1,0,0,0,0%,3,0.7,0.5,1.2,0.02,0.12,12.3,12.9,-6.9,0.6,0.9,0,1.5,0.03,0.15,,,,15,"Flu, Lower body",870000,,0.0
71,Feb 07 '91,Martin,,SVK,73,208,L,2009,2,52,Y,22,RICHARDPANIK,Richard,Panik,TBL,,,RW/C,50,3,10,13,0.26,AHL,0.803921569,-9,56,32,26,5.4%,2.6%,31.4,29,4,4,634.6,12.7,857,17.1,0.74,68,6.47,2.7%,9.0%,11.7%,3,5,37.5%,0.2,59,70,16,32,23,16,5.6,6.6,1.5,3.0,2.2,1.5,21,8,1,0,0,0,6.1,1,0,0%,0,0,14,0,1,0,0,0,0,0%,3,0,0.2,0.2,0.00,0.02,12.9,11.4,-10.6,-0.8,0.2,-0.3,-0.9,-0.02,-0.09,,,,,,900000,,-2.5
22,Apr 20 '89,Red Deer,AB,CAN,72,200,R,2007,4,112,Y,24,COLTONSCEVIOUR,Colton,Sceviour,DAL,,,C/RW,26,8,4,12,0.461538462,AHL,1.166666667,-3,69,20,13,11.6%,7.8%,27.1,38,8,4,386.9,14.9,519,20.0,0.75,13,1.96,17.4%,8.7%,26.1%,17,26,39.5%,2.6,32,19,16,20,13,7,5.0,2.9,2.5,3.1,2.0,1.1,4,2,0,0,0,0,-0.5,1,0,0%,0,2,4,0,0,2,0,0,0,0%,6,1.2,0.3,1.4,0.05,0.22,8.7,7.7,-3.1,1.7,0.3,-0.3,1.7,0.07,0.26,,,,,,600000,,0.6
7,Mar 31 '93,Aurora,ON,CAN,71,185,R,2011,1,12,Y,20,RYANMURPHY,Ryan,Murphy,CAR,,,D,48,2,10,12,0.25,OHL,0.888888889,-9,81,34,67,2.5%,1.1%,51.7,25,10,44,877.7,18.3,1064,22.2,0.82,139,9.49,3.2%,16.1%,19.4%,0,0,0.0%,0,57,22,58,34,46,32,3.9,1.5,4.0,2.3,3.1,2.2,10,5,0,0,0,0,7.4,,, ,,0,11,0,1,0,0,0,0,0%,2,0.5,1.2,1.8,0.04,0.12,15.5,14.7,-5.6,1.1,0.3,0,1.4,0.03,0.10,,,,,,1313333,,-0.9
24,Jan 14 '91,Toronto,ON,CAN,74,194,L,2009,1,15,Y,23,PETERHOLLAND,Peter,Holland,TOR,ANA,4,C,43,6,5,11,0.255813953,AHL,0.9,0,43,17,22,14.0%,7.3%,31.7,26,10,2,488.0,11.3,648,15.1,0.75,50,6.09,6.2%,5.2%,11.3%,182,213,46.1%,14.1,64,46,22,17,12,25,7.9,5.7,2.7,2.1,1.5,3.1,18,9,0,0,0,0,-3.9,,, ,,3,15,0,0,0,0,0,0,0%,2,0.6,0.5,1.1,0.03,0.14,9.8,8.9,1.5,0.5,0.6,0,1.1,0.03,0.14,,,,7,"Lower body, Foot",1295000,,-1.2
11,Apr 16 '91,Auburn,NY,USA,73,192,R,2009,2,45,Y,22,JEREMYMORIN,Jeremy,Morin,CHI,,,RW/LW/C,24,5,6,11,0.458333333,AHL,1,5,46,15,16,10.9%,6.5%,27.2,29,5,3,220.0,9.2,347,14.5,0.63,45,12.18,11.1%,13.3%,24.4%,4,2,66.7%,0.4,29,20,2,15,0,9,7.9,5.5,0.5,4.1,0.0,2.5,32,6,0,2,0,0,2.6,,, ,,0,5,0,0,0,0,0,0,0%,3,1.2,0.4,1.6,0.07,0.44,6.1,5.5,3.2,1.9,0.9,0,2.8,0.12,0.76,,,,,,886667,,1.2
47,Oct 05 '92,Bern,,CHE,71,190,L,2011,1,13,Y,21,SVENBAERTSCHI,Sven,Baertschi,CGY,,,LW,26,2,9,11,0.423076923,AHL,0.8125,-4,30,10,16,6.7%,3.6%,26.0,15,5,7,366.9,14.1,509,19.6,0.72,30,4.91,4.1%,18.4%,22.4%,0,0,0.0%,0,30,22,19,10,13,9,4.9,3.6,3.1,1.6,2.1,1.5,6,2,0,0,0,0,3.4,2,0,0%,0,0,8,0,0,0,0,0,0,0%,3,0.4,0.3,0.7,0.03,0.11,8.2,6.9,-0.4,0.4,0.5,-0.6,0.4,0.02,0.07,,,,,,1425417,,-2.1
34,Feb 03 '92,Oklahoma City,OK,USA,75,205,L,2010,2,38,Y,21,JONMERRILL,Jon,Merrill,NJD,,,D,52,2,9,11,0.211538462,AHL,0.666666667,-3,45,24,54,4.4%,1.6%,49.0,10,11,23,999.8,19.2,1296,24.9,0.77,61,3.68,2.4%,10.7%,13.1%,0,0,0.0%,0,87,27,41,24,11,9,5.2,1.6,2.5,1.4,0.7,0.5,12,6,0,0,0,0,1.3,,, ,,0,18,1,0,2,0,0,0,0%,1,0.2,2.4,2.6,0.05,0.16,17.7,17.8,-0.8,0.1,2.6,0,2.7,0.05,0.16,,,,9,"Facial, Lower body",900000,,1.1
51,Jan 30 '92,Ottawa,ON,CAN,71,181,L,2010,2,45,Y,22,RYANSPOONER,Ryan,Spooner,BOS,,,C,23,0,11,11,0.47826087,AHL,0.93877551,0,42,12,10,0.0%,0.0%,34.6,27,8,3,294.6,12.8,372,16.2,0.79,37,7.58,0.0%,25.0%,25.0%,59,86,40.7%,10,18,10,6,12,3,8,3.7,2.0,1.2,2.4,0.6,1.6,6,3,0,0,0,0,-2.4,3,0,0%,0,0,4,0,0,0,0,0,0,0%,2,0.4,0.2,0.7,0.03,0.14,6.6,5,-2.8,0.8,0.1,-0.8,0.1,0.00,0.02,,,,2,Illness,870000,,-1.4
8,Mar 23 '90,Montreal,QC,CAN,73,185,L,2008,6,152,Y,23,MARKBARBERIO,Mark,Barberio,TBL,,,D,49,5,5,10,0.204081633,AHL,0.575342466,10,54,21,46,9.3%,4.1%,47.2,23,6,20,714.3,14.6,936,19.1,0.76,0,0.00,7.2%,7.2%,14.5%,0,0,0.0%,0,48,28,38,21,27,10,4.0,2.4,3.2,1.8,2.3,0.8,28,14,0,0,0,0,-9.6,,, ,,1,13,0,0,0,0,0,0,0%,0,0.8,2.2,3,0.06,0.25,13.3,14.9,6.6,1.3,2.8,0,4.1,0.08,0.34,,,,2,Lower body,605000,,3.0
43,Mar 29 '94,Toronto,ON,CAN,76,210,R,2012,1,16,Y,19,TOMWILSON,Tom,Wilson,WSH,,,RW,82,3,7,10,0.12195122,OHL,1.208333333,1,63,19,15,4.8%,3.1%,27.8,30,14,5,651.0,7.9,913,11.1,0.71,57,5.29,2.4%,5.6%,8.0%,0,3,0.0%,0,120,197,13,19,10,17,11.1,18.2,1.2,1.8,0.9,1.6,151,23,15,2,1,0,-7.2,,, ,,0,28,0,0,0,0,0,0,0%,1,-0.4,0.8,0.4,0.00,0.04,11.5,10.8,2.3,-1.2,1,0,-0.2,0.00,-0.02,,,,,,1294167,,-2.5
59,Feb 01 '90,Fort Lauderdale,FL,USA,73,195,R,,,,Y,23,JAYSONMEGNA,Jayson,Megna,PIT,,,C/LW,36,5,4,9,0.25,AHL,0.6,1,36,12,16,13.9%,7.8%,23.5,21,5,1,377.5,10.5,508,14.1,0.74,33,5.31,7.4%,5.9%,13.2%,2,8,20.0%,0.4,39,47,13,12,4,7,6.2,7.5,2.1,1.9,0.6,1.1,6,3,0,0,0,0,3.3,,, ,,0,5,0,0,2,0,0,0,0%,3,0.5,0.5,1,0.03,0.16,7.4,7.2,0.2,0.6,0.8,0,1.4,0.04,0.22,,,,13,Lower body,925000,,-0.2
5,Dec 21 '93,Ottawa,ON,CAN,75,209,R,2012,1,15,Y,20,CODYCECI,Cody,Ceci,OTT,,,D,49,3,6,9,0.183673469,AHL,0.703703704,-5,82,29,55,3.7%,1.8%,53.1,40,8,32,843.0,17.2,1122,22.9,0.75,48,3.44,4.3%,8.7%,13.0%,0,0,0.0%,0,91,45,49,29,15,12,6.5,3.2,3.5,2.1,1.1,0.9,14,7,0,0,0,0,0.7,,, ,,0,16,1,0,2,0,0,0,0%,1,0.3,1,1.4,0.03,0.10,15.9,17.9,-2,0,0,0,0.1,0.00,0.01,,,,,,1369167,,-2.3
92,May 19 '92,Chelyabinsk,,RUS,72,172,L,2010,1,26,Y,21,EVGENYKUZNETSOV,Evgeny,Kuznetsov,WSH,,,C,17,3,6,9,0.529411765,KHL,0.677419355,-2,22,7,8,13.6%,8.1%,31.7,14,3,4,229.1,13.5,298,17.5,0.77,20,5.16,13.0%,26.1%,39.1%,5,22,18.5%,2.7,13,7,2,7,7,3,3.4,1.8,0.5,1.8,1.8,0.8,6,3,0,0,0,0,1.7,6,3,50%,1,0,6,0,0,0,0,0,0,0%,6,0.7,0.2,0.9,0.05,0.24,5.2,4.5,-0.9,1.2,0.1,1,2.3,0.14,0.60,,,,,,1750000,,-0.8
19,Sep 25 '91,Gävle,,SWE,71,156,R,2010,2,51,Y,22,CALLEJARNKROK,Calle,Jarnkrok,NSH,,,C,12,2,7,9,0.75,AHL,0.714285714,7,13,3,6,15.4%,9.1%,16.3,8,2,0,168.8,14.1,273,22.8,0.62,19,6.69,5.7%,20.0%,25.7%,58,89,39.5%,18.8,14,2,4,3,2,2,5.0,0.7,1.4,1.1,0.7,0.7,4,2,0,0,0,0,-1.2,3,1,33%,0,0,3,0,0,0,0,0,0,0%,5,0.8,0.5,1.2,0.10,0.43,4.1,3.6,7.9,1.6,1.1,0,2.7,0.23,0.96,,,,,,900000,,1.1
42,May 24 '90,Borlange,,SWE,76,204,L,2009,4,102,Y,23,MATTIASEKHOLM,Mattias,Ekholm,NSH,,,D,62,1,8,9,0.14516129,AHL,0.542372881,-8,58,20,46,1.7%,0.8%,50.4,24,3,30,1042.6,16.8,1396,22.5,0.75,46,2.67,1.1%,8.6%,9.7%,0,0,0.0%,0,81,42,55,20,33,19,4.7,2.4,3.2,1.2,1.9,1.1,10,5,0,0,0,0,3.0,1,0,0%,0,0,15,0,0,0,0,0,0,0%,2,-0.2,1.6,1.4,0.02,0.08,19.2,23.7,-3.4,-1.2,2.1,-0.3,0.6,0.01,0.03,,,,,,1025000,,-1.2
67,Jul 11 '93,Pittsburgh,PA,USA,70,182,R,2011,3,64,Y,20,VINCENTTROCHECK,Vincent,Trocheck,FLA,,,C,20,5,3,8,0.4,AHL,0.763636364,-11,38,23,15,13.2%,6.6%,32.1,20,4,5,377.7,18.9,502,25.1,0.75,22,3.47,20.8%,12.5%,33.3%,166,182,47.7%,28.8,36,39,11,23,8,13,5.7,6.2,1.7,3.7,1.3,2.1,6,3,0,0,0,0,1.5,1,1,100%,0,0,2,0,0,0,1,0,0,0%,7,0.4,-0.1,0.4,0.02,0.06,8.5,8.5,-8.5,-0.1,-0.2,0.6,0.3,0.02,0.05,,,,,,894167,,-1.3
61,May 13 '92,Winnipeg,MB,CAN,74,205,R,2010,6,178,Y,21,MARKSTONE,Mark,Stone,OTT,,,RW,19,4,4,8,0.421052632,AHL,1.108108108,5,36,25,11,11.1%,5.6%,27.4,20,7,2,275.0,14.5,390,20.5,0.71,39,8.51,9.3%,9.3%,18.6%,1,0,100.0%,0,22,10,7,25,6,18,4.8,2.2,1.5,5.5,1.3,3.9,4,2,0,0,0,0,-1.4,,, ,,2,9,0,0,0,0,0,0,0%,5,0.6,0.4,1,0.05,0.22,5.4,4.3,6.4,1.1,0.6,0,1.7,0.09,0.37,,,,8,Upper body,873333,,0.2
73,Jun 25 '88,Windsor,ON,CAN,76,225,R,2007,6,162,Y,25,BRETTBELLEMORE,Brett,Bellemore,CAR,,,D,64,2,6,8,0.125,AHL,0.191176471,-1,54,16,36,3.7%,1.9%,54.2,23,12,16,1118.2,17.5,1532,23.9,0.73,38,2.03,2.6%,7.7%,10.3%,0,0,0.0%,0,137,169,98,16,39,21,7.4,9.1,5.3,0.9,2.1,1.1,45,15,3,0,0,0,2.5,,, ,,0,14,0,0,0,0,0,0,0%,5,-0.2,2.5,2.2,0.03,0.12,14.8,20.6,-0.4,-0.2,2.4,0,2.2,0.03,0.12,,,,9,Lower body,600000,,1.1
62,Nov 29 '90,Plzen,,CZE,80,225,R,,,,Y,23,ANDREJSUSTR,Andrej,Sustr,TBL,,,D,43,1,7,8,0.186046512,NCAA,0.641025641,3,39,12,23,2.6%,1.4%,49.8,23,5,9,679.1,15.8,863,20.1,0.79,0,0.00,1.6%,10.9%,12.5%,0,0,0.0%,0,61,26,36,12,22,4,5.4,2.3,3.2,1.1,1.9,0.4,16,8,0,0,0,0,-2.7,,, ,,0,13,0,0,0,0,0,0,0%,1,0.2,1.5,1.7,0.04,0.15,10.1,12.5,-0.2,0.6,1.6,0,2.2,0.05,0.19,,,,,,1350000,,-0.2
5,Mar 26 '93,Boston,MA,USA,75,190,R,2011,1,20,Y,20,CONNORMURPHY,Connor,Murphy,PHX,,,D,30,1,7,8,0.266666667,AHL,0.361111111,5,30,10,29,3.3%,1.4%,45.5,12,0,14,539.4,18.0,681,22.7,0.79,33,3.70,2.8%,19.4%,22.2%,0,0,0.0%,0,68,44,38,10,13,13,7.6,4.9,4.2,1.1,1.4,1.4,10,5,0,0,0,0,3.6,,, ,,0,8,0,0,1,0,0,0,0%,3,0.3,1.6,2,0.07,0.22,9.2,12.6,5.7,0.8,2.2,0,3,0.10,0.33,,,,,,1075833,,1.1
23,Feb 23 '90,Edmonton,AB,CAN,74,200,L,2009,3,83,Y,23,KEVINCONNAUTON,Kevin,Connauton,DAL,,,D,36,1,7,8,0.222222222,AHL,0.449275362,-6,56,24,40,1.8%,0.8%,47.7,30,4,17,551.9,15.3,740,20.6,0.75,26,2.81,1.8%,12.3%,14.0%,0,0,0.0%,0,56,43,29,24,22,9,6.1,4.7,3.2,2.6,2.4,1.0,16,8,0,0,0,0,-1.5,,, ,,0,6,0,0,0,0,0,0,0%,0,0.3,0.5,0.8,0.02,0.09,10.5,10.6,-6.3,0.6,-0.1,0,0.5,0.01,0.05,,,,,,683333,,-0.7
70,Aug 10 '92,Kitchener,ON,CAN,73,200,L,2012,1,30,Y,21,TANNERPEARSON,Tanner,Pearson,LAK,,,LW,25,3,4,7,0.28,AHL,0.780487805,2,31,20,11,9.7%,4.8%,27.6,21,7,1,270.2,10.8,388,15.5,0.70,27,6.02,7.7%,10.3%,17.9%,1,1,50.0%,0.1,36,35,9,20,9,9,8.0,7.8,2.0,4.4,2.0,2.0,8,4,0,0,0,0,4.6,,, ,,1,5,0,0,1,0,0,0,0%,4,0.4,0.4,0.8,0.03,0.18,6.5,5.7,0,0,0.8,0,0.9,0.04,0.20,,,,,,925000,,-0.7
58,Jun 21 '90,Ottawa,ON,CAN,72,185,R,2008,2,39,Y,23,ERICODELL,Eric,O'Dell,WPG,,,C,30,3,4,7,0.233333333,AHL,1,-2,17,12,2,17.6%,9.7%,21.7,7,3,2,290.7,9.7,403,13.4,0.72,0,0.00,5.4%,7.1%,12.5%,78,78,50.0%,8.8,32,31,12,12,4,15,6.6,6.4,2.5,2.5,0.8,3.1,10,5,0,0,0,0,0.5,,, ,,1,7,0,0,1,0,0,0,0%,3,0.3,0.2,0.5,0.02,0.10,6.1,5.9,-1.8,0.1,0.3,0,0.4,0.01,0.08,,,,,,630000,,-0.7
15,Sep 08 '93,Lansing,MI,USA,70,195,L,2011,4,99,Y,20,REIDBOUCHER,Reid,Boucher,NJD,,,RW/C,23,2,5,7,0.304347826,AHL,0.678571429,2,27,15,11,7.4%,3.8%,26.6,12,12,1,261.2,11.4,354,15.4,0.74,43,9.80,4.1%,10.2%,14.3%,1,2,33.3%,0.2,29,17,5,15,3,6,6.7,3.9,1.1,3.4,0.7,1.4,4,2,0,0,0,0,-0.4,2,1,50%,0,0,9,0,0,0,0,0,0,0%,2,0.3,0.5,0.7,0.03,0.16,4.9,4.7,2.6,0.5,0.9,0.3,1.8,0.08,0.41,,,,,,925000,,0.2
41,Apr 28 '89,Grand Rapids,MI,USA,71,195,R,,,,Y,24,LUKEGLENDENING,Luke,Glendening,DET,,,C/RW,56,1,6,7,0.125,AHL,0.509803922,-8,54,15,16,1.9%,1.2%,26.7,24,7,0,779.2,13.9,1132,20.2,0.69,114,8.75,1.0%,6.1%,7.1%,329,349,48.5%,20.6,102,92,38,15,7,12,7.9,7.1,2.9,1.2,0.5,0.9,22,11,0,0,0,0,3.5,,, ,,0,16,0,0,0,0,0,0,0%,6,-1.3,0.5,-0.8,-0.01,-0.06,11.2,16.8,-8.8,-2.4,2.2,0,-0.2,0.00,-0.02,,,,,,575000,,-1.2
3,Jan 11 '92,Sherwood Park,AB,CAN,73,192,R,2010,1,23,Y,22,MARKPYSYK,Mark,Pysyk,BUF,,,D,44,1,6,7,0.159090909,AHL,0.315789474,-11,51,27,31,2.0%,0.9%,47.4,15,10,18,863.4,19.6,1109,25.2,0.78,0,0.00,1.4%,8.7%,10.1%,0,0,0.0%,0,50,37,57,27,19,12,3.5,2.6,4.0,1.9,1.3,0.8,16,8,0,0,0,0,0.9,,, ,,0,15,1,0,1,0,0,0,0%,2,-0.2,1.6,1.5,0.03,0.10,14.8,17.5,-0.5,-0.8,1,0,0.3,0.01,0.02,,,,2,Soreness,870000,,-1.2
42,Jan 21 '92,Winnipeg,MB,CAN,74,189,L,2010,1,25,Y,22,QUINTONHOWDEN,Quinton,Howden,FLA,,,C/LW,16,4,2,6,0.375,AHL,0.526315789,0,23,4,6,17.4%,12.1%,27.1,9,6,3,219.5,13.7,307,19.2,0.71,31,8.56,10.5%,5.3%,15.8%,2,6,25.0%,0.8,18,32,11,4,0,9,4.9,8.7,3.0,1.1,0.0,2.5,10,5,0,0,0,0,-2.4,,, ,,1,2,0,0,0,0,0,0,0%,5,0.5,0.2,0.8,0.05,0.22,3.5,4,1.2,1.3,0.5,0,1.8,0.11,0.49,,,,,,1070000,,-0.1
46,Mar 06 '93,Herning,,DNK,75,202,L,2011,1,29,Y,20,NICKLASJENSEN,Nicklas,Jensen,VAN,,,RW/LW,17,3,3,6,0.352941176,SweHL,0.46,-1,30,19,13,10.0%,4.8%,30.2,17,3,5,265.9,15.6,331,19.5,0.80,33,7.33,13.0%,13.0%,26.1%,0,1,0.0%,0.1,4,7,6,19,7,8,0.9,1.6,1.4,4.3,1.6,1.8,10,5,0,0,0,0,-4.4,2,1,50%,1,1,3,0,0,1,0,0,0,0%,4,0.3,0.3,0.6,0.04,0.14,6.4,5.4,0.3,-0.3,0.6,0.3,0.6,0.04,0.14,,,,,,863333,,-0.9
68,Nov 24 '89,Kitchener,ON,CAN,72,185,L,2009,5,130,Y,24,MIKEHOFFMAN,Mike,Hoffman,OTT,,,LW/C,25,3,3,6,0.24,AHL,0.682926829,-2,61,26,31,4.9%,2.5%,35.1,28,12,11,329.6,13.2,471,18.8,0.70,29,5.33,5.8%,5.8%,11.5%,6,3,66.7%,0.5,20,18,7,26,9,18,3.6,3.3,1.3,4.7,1.6,3.3,2,1,0,0,0,0,3.6,,, ,,2,8,0,0,0,0,0,0,0%,2,0.1,0.2,0.3,0.01,0.05,6,4.1,-0.2,-0.1,-0.2,0,-0.3,-0.01,-0.05,,,,,,660000,,-1.5
88,Jul 16 '91,St. Cloud,MN,USA,72,194,L,,,,Y,22,NATESCHMIDT,Nate,Schmidt,WSH,,,D,29,2,4,6,0.206896552,NCAA,0.8,4,41,13,23,4.9%,2.6%,49.6,20,9,12,542.1,18.7,607,20.9,0.89,10,1.14,6.9%,13.8%,20.7%,0,0,0.0%,0,37,18,35,13,21,10,4.1,2.0,3.9,1.4,2.3,1.1,6,3,0,0,0,0,7.6,,, ,,0,11,0,1,0,0,0,0,0%,3,0.2,1.5,1.7,0.06,0.19,9.6,11.3,5.3,0.2,1.5,0,1.7,0.06,0.19,,,,,,1350000,,-0.7
86,Nov 15 '87,Los Angeles,CA,USA,74,210,R,,,,Y,26,KEVANMILLER,Kevan,Miller,BOS,,,D,47,1,5,6,0.127659574,AHL,0.25,20,41,20,40,2.4%,1.0%,54.0,6,7,22,820.7,17.5,1082,23.0,0.76,23,1.69,0.9%,4.5%,5.4%,0,0,0.0%,0,117,103,85,20,8,15,8.6,7.5,6.2,1.5,0.6,1.1,38,9,4,0,0,0,5.0,,, ,,0,11,0,0,1,0,0,0,0%,4,-0.2,3,2.8,0.06,0.20,11.9,15.2,9.4,-0.5,3.6,0,3.1,0.07,0.23,,,,,,550000,,2.1
64,Feb 17 '88,Ottawa,ON,CAN,72,203,L,,,,Y,25,VICTORBARTLEY,Victor,Bartley,NSH,,,D,50,1,5,6,0.12,AHL,0.481481481,0,21,10,19,4.8%,2.0%,54.1,8,2,10,768.2,15.4,1041,20.8,0.74,37,2.91,1.1%,5.5%,6.6%,0,0,0.0%,0,58,81,79,10,7,14,4.5,6.3,6.2,0.8,0.5,1.1,23,8,1,0,0,0,-0.3,,, ,,1,9,0,0,0,0,0,0,0%,3,-0.2,1.7,1.5,0.03,0.12,12.3,17.4,2.4,-0.6,2.5,0,1.8,0.04,0.14,,,,,,666667,,0.6
58,Apr 13 '94,Orland Park,IL,USA,71,185,R,2012,5,137,Y,19,CONNORCARRICK,Connor,Carrick,WSH,,,D,34,1,5,6,0.176470588,OHL,0.647058824,-9,26,16,29,3.8%,1.4%,51.7,16,2,7,543.1,16.0,671,19.7,0.81,0,0.00,2.2%,11.1%,13.3%,0,0,0.0%,0,99,25,56,16,18,6,10.9,2.8,6.2,1.8,2.0,0.7,23,9,1,0,0,0,0.6,,, ,,0,8,0,0,0,0,0,0,0%,2,0.1,0.4,0.5,0.01,0.06,9.9,13.4,-8.2,0,0,0,-0.1,0.00,-0.01,,,,,,783333,,-1.5
85,Feb 18 '92,Kosice,,SVK,76,188,L,2010,2,46,Y,21,MARTINMARINCIN,Martin,Marincin,EDM,,,D,44,0,6,6,0.136363636,AHL,0.291666667,-2,28,19,29,0.0%,0.0%,51.6,15,3,7,843.2,19.2,1054,24.0,0.80,34,2.43,0.0%,11.8%,11.8%,0,0,0.0%,0,25,17,60,19,33,17,1.8,1.2,4.3,1.4,2.3,1.2,16,8,0,0,0,0,-1.0,,, ,,0,12,0,0,0,0,0,0,0%,3,-0.4,1.8,1.4,0.03,0.10,13.7,16.6,5.4,-1.1,2,0,0.9,0.02,0.06,,,,,,870000,,-0.6
15,Jul 29 '90,Fergus,ON,CAN,74,205,L,2010,4,119,Y,23,TYEMCGINN,Tye,McGinn,PHI,,,LW,18,4,1,5,0.277777778,AHL,0.565217391,-1,16,8,8,25.0%,12.5%,26.8,5,3,1,201.2,11.2,275,15.3,0.73,8,2.42,19.0%,4.8%,23.8%,0,0,0.0%,0,35,26,7,8,6,4,10.4,7.8,2.1,2.4,1.8,1.2,4,2,0,0,0,0,-2.3,,, ,,1,5,0,0,0,0,0,0,0%,4,0.4,0.2,0.6,0.03,0.18,4.9,4.4,-0.7,0.2,0.2,0,0.4,0.02,0.12,,,,,,775000,,-1.0
14,Apr 18 '89,North York,ON,CAN,75,235,R,2007,6,160,Y,24,ANTHONYPELUSO,Anthony,Peluso,WPG,,,RW,53,2,3,5,0.094339623,AHL,0.305555556,-5,24,7,1,8.3%,6.3%,21.7,7,5,1,306.1,5.8,434,8.2,0.71,23,4.43,1.6%,2.4%,4.1%,1,2,33.3%,0.1,40,85,3,7,2,7,7.8,16.7,0.6,1.4,0.4,1.4,65,5,9,0,1,0,-3.6,1,0,0%,0,0,16,0,0,0,1,0,0,0%,1,-0.1,0.1,0,0.00,0.00,7.8,7.6,-4.8,-1.5,0.2,-0.3,-1.6,-0.03,-0.31,,,,,,562500,,-2.6
